Sample,Sex,Family,Plate,Initial area (mm^2),Initial perimeter (mm),Initial Circularity,1 week area (mm^2),1 week perimeter (mm),Week_1_Circularity,Week_2_area,Week_2_ perimeter ,Week_2_Circularity,Week_3_area,Week_3_perimeter,Week_3_Circularity,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days,21 days,Days_until_gametophores,Total_Gametophores
P_14_11_15,m,5,13B,0.02349027,0.729737001,0.554044828,0.061467412,1.100087442,0.637940468,0.342459356,3.265621847,0.403335909,0.793497868,4.940001345,0.408395802,0,0,0,0,1,2,3,3,3,,4,5,12,13,15,100,0
P_14_11_15,m,5,13C,0.02375268,0.645725432,0.715494792,0.054323511,0.990179592,0.695904307,0.36033042,4.059326024,0.274651959,0.989527606,5.272280891,0.447116271,0,0,0,0,0,0,0,0,0,,3,7,10,14,15,100,0
P_14_11_16,m,5,6A,0.023956275,0.708952714,0.598651923,0.080523848,1.481401762,0.460859395,0.306061201,3.24463577,0.365145552,0.834922542,6.114010897,0.280532647,0,0,0,0,0,0,0,0,0,1,1,6,5,,20+,16,21
P_14_11_16,m,5,6B,0.02285234,0.65292258,0.673281914,0.066842304,1.545907042,0.351296886,0.306843909,3.171453555,0.383169061,0.817811564,6.191767001,0.267925269,0,0,0,0,0,0,0,0,0,1,4,5,5,,17,100,0
P_14_11_16,m,5,6C,0.024567058,0.625613776,0.788370165,0.063385724,1.467545571,0.369656119,0.322959537,3.442389184,0.342308604,0.87546045,5.108091747,0.421413838,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,100,0
P_14_11_4,f,5,5C,0.008360943,0.348893523,0.862698634,0.046338086,1.142530437,0.445853491,0.178507047,2.089997982,0.513278734,0.542800771,3.516513083,0.551322378,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,100,0
P_14_11_4,f,5,5A,0.008564538,0.356090671,0.848344756,0.034755826,0.824981503,0.641399825,0.16068575,1.700006726,0.69833808,0.45813717,2.926010628,0.672099187,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,100,0
P_14_11_4,f,5,5B,0.007076037,0.320912087,0.86299356,0.037212532,1.138763705,0.36042228,0.158378347,1.657832784,0.723775699,0.503181301,3.463442524,0.526863561,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,100,0
P_14_11_5,m,5,28A,0.021707687,0.565615121,0.852238556,0.041017485,0.970538777,0.546931438,0.178896138,3.446155916,0.189199838,0.615655896,4.316069146,0.415098243,0,0,0,1,1,0,0,0,0,0,0,0,2,3,3,100,0
P_14_11_5,m,5,28B,0.030552733,0.675388444,0.841264291,0.063566696,1.102576175,0.656753011,0.25726641,3.2926616,0.298042727,0.534394584,3.984933073,0.422677981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
